461656,1627675
1077658,122724
812159,696128
274696,1440974
606683,1565060
1057077,664958
939383,683070
994186,1397334
1252427,1590422
344727,1385252
630535,480862
720877,1417071
561324,1242819
1373538,477275
1185315,952539
1649928,1645726
790133,81402
1457089,564853
418652,1333944
1559491,989155
973484,1429237
852373,307851
1638432,1618497
328412,334301
1077658,920144
216388,1284982
1086362,133520
111427,1218478
291957,663306
1140429,745515
796470,685666
833945,605068
785247,532600
642748,1233421
1627675,1188545
678219,1213090
466793,149507
1232874,602809
1429637,82128
814956,740798
62629,273062
219477,1220662
686297,1276535
61440,54390
113636,802113
645778,306539
204236,1401554
275909,745515
1111699,234860
373869,1174083
1415024,1264780
14523,1638290
661157,1596511
1198451,1086931
578954,991455
1523991,58879
907890,284125
1508649,723564
396769,1628027
788748,1290891
287892,955798
418652,177588
1034692,1504661
1261351,799949
1385775,1640987
1128362,1357703
1440974,234860
986840,1684893
358566,88554
1334505,1334505
1294267,1440974
333800,40720
1101727,209615
1584706,270937
3523,948588
1184827,1507107
115891,1155337
736705,429286
1124040,299046
1180944,896634
1293729,1233421
1307169,605884
1183719,721003
1618483,1311564
1249837,346222
124853,1597803
1523991,1158726
404879,208551
1053822,653375
767592,1211265
32535,182528
1442110,1544693
478500,977754
1446930,253222
1312855,579140
1474327,666334
710362,675897
1652418,1638737
1528870,768957
977754,1590422
1546197,520016
78278,723564
822959,822959
47966,1107542
218761,1230991
992513,992513
466793,1535865
1629379,989155
671836,1425486
487708,111427
929002,81402
201585,190198
939402,865547
723977,680698
1318630,1039145
1195763,493396
358566,1309747
1448283,780680
738962,1265481
1474327,1089095
632840,1424255
862984,705420
1417788,602809
710362,251260
1637967,976606
1378528,1054268
468380,1082539
300255,499930
1167831,300255
1024861,228395
1356374,465374
985152,143741
963993,887617
1276535,731205
1628004,449632
1446930,1279480
1380604,1396324
525321,1179016
1581945,1581945
1000537,1000545
1488702,1132550
489517,1523991
325047,1143371
212376,402396
1638422,1638422
1263253,488917
170944,170944
1149117,938211
1024861,982895
1369565,1376926
1199805,273062
890084,1514340
458249,951673
1078523,1399806
210351,1629379
1242355,553810
1103642,234357
1372364,207119
434490,666334
768680,369784
490658,349355
1163739,222677
1090024,1242819
835937,428921
303675,418652
976380,1491195
248695,564063
564853,1438212
1206391,107235
776121,402396
768957,1385252
1132550,1614984
219315,1514819
68331,1261351
1174083,164262
212376,572722
1392053,44875
458604,1170697
1454623,1318105
780680,1174083
424190,1195763
516601,1261351
770478,295581
1307169,1225357
1248094,918269
294624,1184645
1528870,344727
46096,774827
434490,1089095
952539,1034692
46752,731461
942716,1107542
162500,499709
449632,988536
1619522,846662
274696,1581427
532883,1618483
642363,480862
1507107,321175
111427,1474327
124616,723162
527514,415242
1495403,786184
1357703,424704
1654225,860391
185793,185793
1242819,323681
142157,3523
966399,1464751
726757,680219
738515,219681
111427,434490
773051,651923
1429639,523702
708004,1438888
146651,1244077
512160,433883
468380,1572531
515597,1202283
1184645,473561
162500,1437165
1395972,341332
955798,1450419
812600,769271
690580,680698
821094,1644971
